"","game_str","play_id","play_per_game","ball_position_x","ball_position_y","ball_position_z","batter","ball_dist","field_x","field_y","batter_hand","hit_side","push_pull"
"1","1883_001_Vis4AB_Home4A",107,107,246.9546,284.8962,42.2622,467,377.031058714796,2.0673,0.2571,"R","R","push"
"2","1883_001_Vis4AB_Home4A",114,114,-1.2657,5.9049,-0.1578,383,6.0390264529972,-2.8035,-0.651,"L","L","push"
"3","1883_001_Vis4AB_Home4A",116,116,-53.943,104.8494,0.477537,991,117.912017747811,3.1137,-0.5715,"R","L","pull"
"4","1883_001_Vis4AB_Home4A",142,142,24.56907,368.061,3.52242,586,368.88011456524,3.171,-0.5469,"R","R","push"
"5","1883_001_Vis4AB_Home4A",146,146,-6.8793,14.1372,-0.1956,624,15.7221242944457,-2.9274,1.5273,"L","L","push"
"6","1883_001_Vis4AB_Home4A",150,150,-27.04512,171.5139,4.67037,392,173.633108619942,2.8167,-0.2094,"R","L","pull"
"7","1883_001_Vis4AB_Home4A",21,21,-80.0445,329.592,6.32952,624,339.172534920282,-2.5284,0.1935,"L","L","push"
"8","1883_001_Vis4AB_Home4A",31,31,151.5984,189.153,-0.723573,636,242.406543417376,-3.396,0.3729,"L","R","pull"
"9","1883_001_Vis4AB_Home4A",35,35,170.7006,155.3352,5.27502,652,230.798005189386,-3.6864,-0.4977,"L","R","pull"
"10","1883_001_Vis4AB_Home4A",50,50,-1.202982,55.8345,0.681072,467,55.847457918354,2.3838,-0.63,"R","L","pull"
"11","1883_001_Vis4AB_Home4A",51,51,-8.91747,78.7104,0.675558,383,79.2139403095244,-2.3928,-1.2726,"L","L","push"
"12","1883_001_Vis4AB_Home4A",52,52,0.343035,250.4157,-1.169226,991,250.415934955228,2.3448,-0.9402,"R","R","push"
"13","1883_001_Vis4AB_Home4A",77,77,98.076,82.9332,6.4281,624,128.439937084382,-2.8131,0.6612,"L","R","pull"
"14","1883_001_Vis4AB_Home4A",80,80,76.1043,191.5653,-1.83261,392,206.128912679857,2.5491,-0.0921,"R","R","push"
"15","1883_001_Vis4AB_Home4A",85,85,13.73751,64.3713,0.500979,636,65.820843542833,-2.8536,-0.9912,"L","R","pull"
"16","1883_001_Vis4AB_Home4A",93,93,-5.5623,13.8807,-0.1914,652,14.9536956562584,-2.8824,-1.5339,"L","L","push"
"17","1883_002_Vis4AB_Home4A",25,25,62.6067,210.8298,-1.461459,392,219.929087328007,3.2388,0.7659,"R","R","push"
"18","1883_002_Vis4AB_Home4A",31,31,49.0899,229.2876,2.22876,636,234.483734608117,-3.0972,-0.7278,"L","R","pull"
"19","1883_003_Vis1AB_Home1A",111,111,187.2093,312.006,21.2418,594,363.861328039254,2.3364,-1.2189,"R","R","push"
"20","1883_003_Vis1AB_Home1A",119,119,0.2484,5.0328,-0.0432,647,5.03892631420623,1.4748,0.6066,"R","R","push"
"21","1883_003_Vis1AB_Home1A",130,130,-79.3929,331.005,4.39197,807,340.393217610766,1.7874,0.363,"R","L","pull"
"22","1883_003_Vis1AB_Home1A",141,141,27.86781,151.263,-0.63813,537,153.808679869493,2.8173,0.1146,"R","R","push"
"23","1883_003_Vis1AB_Home1A",166,166,11.9028,35.5458,0.2134185,993,37.4857378942979,1.9824,-0.1443,"R","R","push"
"24","1883_003_Vis1AB_Home1A",173,173,-214.0119,338.886,34.8951,594,400.805207473169,-3.3705,0.3411,"L","L","push"
"25","1883_003_Vis1AB_Home1A",177,177,1.0458,6.798,-0.0477,492,6.87797220407294,1.9224,-0.1764,"R","R","push"
"26","1883_003_Vis1AB_Home1A",192,192,1.7868,9.5094,-0.0426,647,9.67581224497458,-2.8188,-0.0276,"L","R","pull"
"27","1883_003_Vis1AB_Home1A",199,199,-30.9051,91.242,0.2385021,856,96.3339388274454,1.9116,0.2271,"R","L","pull"
"28","1883_003_Vis1AB_Home1A",205,205,-3.2643,6.5148,-0.042,537,7.28685621718996,-3.0393,0.2931,"L","L","push"
