"","game_str","play_per_game","ball_position_x","ball_position_y","ball_position_z","batter","ball_dist","batter_hand","hit_side","push_pull","x_ball_pos","pitcher_is_righty","pitcher_hand"
"1","1883_001_Vis4AB_Home4A",107,246.9546,284.8962,42.2622,467,377.031058714796,"R","R","push",-2.185143,"True","R"
"2","1883_001_Vis4AB_Home4A",114,-1.2657,5.9049,-0.1578,383,6.0390264529972,"L","L","push",-2.076291,"True","R"
"3","1883_001_Vis4AB_Home4A",116,-53.943,104.8494,0.477537,991,117.912017747811,"R","L","pull",-1.846014,"True","R"
"4","1883_001_Vis4AB_Home4A",142,24.56907,368.061,3.52242,586,368.88011456524,"R","R","push",-1.633287,"True","R"
"5","1883_001_Vis4AB_Home4A",146,-6.8793,14.1372,-0.1956,624,15.7221242944457,"L","L","push",-1.927158,"True","R"
"6","1883_001_Vis4AB_Home4A",150,-27.04512,171.5139,4.67037,392,173.633108619942,"R","L","pull",-1.636662,"True","R"
"7","1883_001_Vis4AB_Home4A",21,-80.0445,329.592,6.32952,624,339.172534920282,"L","L","push",-1.697265,"True","R"
"8","1883_001_Vis4AB_Home4A",31,151.5984,189.153,-0.723573,636,242.406543417376,"L","R","pull",-1.873248,"True","R"
"9","1883_001_Vis4AB_Home4A",35,170.7006,155.3352,5.27502,652,230.798005189386,"L","R","pull",-2.173488,"True","R"
"10","1883_001_Vis4AB_Home4A",50,-1.202982,55.8345,0.681072,467,55.847457918354,"R","L","pull",-1.907286,"True","R"
"11","1883_001_Vis4AB_Home4A",51,-8.91747,78.7104,0.675558,383,79.2139403095244,"L","L","push",-1.808379,"True","R"
"12","1883_001_Vis4AB_Home4A",52,0.343035,250.4157,-1.169226,991,250.415934955228,"R","R","push",-1.792953,"True","R"
"13","1883_001_Vis4AB_Home4A",77,98.076,82.9332,6.4281,624,128.439937084382,"L","R","pull",-1.577547,"True","R"
"14","1883_001_Vis4AB_Home4A",80,76.1043,191.5653,-1.83261,392,206.128912679857,"R","R","push",-2.210037,"True","R"
